input,instruction,output
And one man is standing next to her.,translate from english to karuk,káru yítha pa'ávansa mupîimach uhyárih.
"kúkuum vúra vaa káan uhyárih, vaa vúra úksuuptih.",translate from karuk to english,"Again she is standing there like that, she is pointing like that."
"Again she is standing there like that, she is pointing like that.",translate from english to karuk,"kúkuum vúra vaa káan uhyárih, vaa vúra úksuuptih."
xás payêem áxak pa'ávansa vúra káan mupîimach kun'iruvêehriv.,translate from karuk to english,Now two men are standing there next to her.
Now two men are standing there next to her.,translate from english to karuk,xás payêem áxak pa'ávansa vúra káan mupîimach kun'iruvêehriv.
káru uum vaa vúra úkviipti mú'aavkam.,translate from karuk to english,And (the one) is running in front of her like that.
And (the one) is running in front of her like that.,translate from english to karuk,káru uum vaa vúra úkviipti mú'aavkam.
"yeeripáxvu uhyárih, úksuupkuti ípaha, káan u'íihya.",translate from karuk to english,"A girl is standing, she is pointing at a tree, it is standing there."
"A girl is standing, she is pointing at a tree, it is standing there.",translate from english to karuk,"yeeripáxvu uhyárih, úksuupkuti ípaha, káan u'íihya."
"kúkuum vúra payeenipaxvúhich káan uhyárih, vaa vúra úksuupkuti pa'ípaha.",translate from karuk to english,"Again the little girl is standing there, she is pointing at the tree like that."
"Again the little girl is standing there, she is pointing at the tree like that.",translate from english to karuk,"kúkuum vúra payeenipaxvúhich káan uhyárih, vaa vúra úksuupkuti pa'ípaha."
xás mupîimach pamu'áka uhyárih.,translate from karuk to english,Next to her is standing her father.
Next to her is standing her father.,translate from english to karuk,xás mupîimach pamu'áka uhyárih.
"kúkuum vúra vaa káan uhyárih, payêem áxak pa'ávansa mupîimach kun'iruvêehriv.",translate from karuk to english,"Again she is standing there like that, now two men are standing next to her."
"Again she is standing there like that, now two men are standing next to her.",translate from english to karuk,"kúkuum vúra vaa káan uhyárih, payêem áxak pa'ávansa mupîimach kun'iruvêehriv."
payeeripáxvu vaa vúra káan uhyárih.,translate from karuk to english,The girl is standing there like that.
The girl is standing there like that.,translate from english to karuk,payeeripáxvu vaa vúra káan uhyárih.
"xás pa'ávansa vaa vúra úkviipti, kúnish yiimúsich payêem.",translate from karuk to english,"The man is running like that, sort of far away now."
"The man is running like that, sort of far away now.",translate from english to karuk,"xás pa'ávansa vaa vúra úkviipti, kúnish yiimúsich payêem."
payeeripáxvu vaa vúra káan uhyárih.,translate from karuk to english,The girl is standing there like that.
The girl is standing there like that.,translate from english to karuk,payeeripáxvu vaa vúra káan uhyárih.
xás pamu'áka mupîimach uhyárih.,translate from karuk to english,Her father is standing next to her.
Her father is standing next to her.,translate from english to karuk,xás pamu'áka mupîimach uhyárih.
"xás avansáxiich uum u'áhootih, pa'ipahasúruk kúnish tu'uum.",translate from karuk to english,"A boy is walking in front, he is sort of going under the tree."
"A boy is walking in front, he is sort of going under the tree.",translate from english to karuk,"xás avansáxiich uum u'áhootih, pa'ipahasúruk kúnish tu'uum."
xás payeenipaxvúhich vaa vúra uhyárih.,translate from karuk to english,A little girl is standing like that.
A little girl is standing like that.,translate from english to karuk,xás payeenipaxvúhich vaa vúra uhyárih.
xás payêem áxak pa'ávansa kun'iruvêehrim mupîimach.,translate from karuk to english,Now two men are standing next to her.
Now two men are standing next to her.,translate from english to karuk,xás payêem áxak pa'ávansa kun'iruvêehrim mupîimach.
xás pa'avansáxiich ipahasúruk tu'uum.,translate from karuk to english,The boy is going under a tree.
The boy is going under a tree.,translate from english to karuk,xás pa'avansáxiich ipahasúruk tu'uum.
chishíi uhyári amkirasúruk.,translate from karuk to english,A dog is standing under a table.
A dog is standing under a table.,translate from english to karuk,chishíi uhyári amkirasúruk.
pachishíi káan uhyárih.,translate from karuk to english,The dog is standing there.
The dog is standing there.,translate from english to karuk,pachishíi káan uhyárih.
xás á' u'ákuraati papimustihvâanarak.,translate from karuk to english,He is putting his paws up on the window.
He is putting his paws up on the window.,translate from english to karuk,xás á' u'ákuraati papimustihvâanarak.
"pachishíi uhyári amkírak a', u'áamti asíp'anamahachak.",translate from karuk to english,"The dog is standing on top of the table, he is eating from a small bowl."
"The dog is standing on top of the table, he is eating from a small bowl.",translate from english to karuk,"pachishíi uhyári amkírak a', u'áamti asíp'anamahachak."
"pa'ávansa káan uhyárih, u'ákihti páchishiih.",translate from karuk to english,"The man is standing there, he is feeding the dog."
"The man is standing there, he is feeding the dog.",translate from english to karuk,"pa'ávansa káan uhyárih, u'ákihti páchishiih."
pachishíi káan uhyárih.,translate from karuk to english,The dog is standing there.
The dog is standing there.,translate from english to karuk,pachishíi káan uhyárih.
"xás paachvíiv káan úkxiiptih, kúnish tu'áy páchishiih.",translate from karuk to english,"The bird is flying there, it is sort of afraid of the dog."
"The bird is flying there, it is sort of afraid of the dog.",translate from english to karuk,"xás paachvíiv káan úkxiiptih, kúnish tu'áy páchishiih."
pachishíi u'áharamuti sahíshyuuxach.,translate from karuk to english,The dog is chasing a rabbit.
The dog is chasing a rabbit.,translate from english to karuk,pachishíi u'áharamuti sahíshyuuxach.
"pachishíi káan úkrii, tóo kfuuyshur, umyáhyaahtih.",translate from karuk to english,"The dog is sitting there, it is tired, it is panting."
"The dog is sitting there, it is tired, it is panting.",translate from english to karuk,"pachishíi káan úkrii, tóo kfuuyshur, umyáhyaahtih."
"túuyship uvêehrimva, xás utíshraamhitih musúrukam.",translate from karuk to english,"Mountains are standing, and a valley is below them."
"Mountains are standing, and a valley is below them.",translate from english to karuk,"túuyship uvêehrimva, xás utíshraamhitih musúrukam."
"xás musmus'asiktâan káan uhyárih, pírish u'áamtih.",translate from karuk to english,"A cow is standing there, she is eating grass."
"A cow is standing there, she is eating grass.",translate from english to karuk,"xás musmus'asiktâan káan uhyárih, pírish u'áamtih."
"káan tishrámkaam, xás úhthaamhitih, káru ipahá'anamahach káan u'íihya.",translate from karuk to english,"A big field is there, and a man is planting there, and a little tree is standing there."
"A big field is there, and a man is planting there, and a little tree is standing there.",translate from english to karuk,"káan tishrámkaam, xás úhthaamhitih, káru ipahá'anamahach káan u'íihya."
káru pirishxárahsa uvêehrimva mupîimach.,translate from karuk to english,And tall grass is standing next to him.
And tall grass is standing next to him.,translate from english to karuk,káru pirishxárahsa uvêehrimva mupîimach.
"utishramhúniihva káru máruk, víri vaa káan káru uhthaamhíramhitih.",translate from karuk to english,"There are fields on the slopes uphill also, there is cultivated ground there too."
"There are fields on the slopes uphill also, there is cultivated ground there too.",translate from english to karuk,"utishramhúniihva káru máruk, víri vaa káan káru uhthaamhíramhitih."
pa'ávansa usrûuntih payuraschíshiih.,translate from karuk to english,The man is leading the horse.
The man is leading the horse.,translate from english to karuk,pa'ávansa usrûuntih payuraschíshiih.
"ukûuntakoo páchishiih, ikrivtakukíriipux, káru ishrêeriipux.",translate from karuk to english,"He is riding the horse, without a saddle, and without a bridle."
"He is riding the horse, without a saddle, and without a bridle.",translate from english to karuk,"ukûuntakoo páchishiih, ikrivtakukíriipux, káru ishrêeriipux."
"payôok ávansa vuraakírak uvôoruraatih, úmkaanvutih.",translate from karuk to english,"Here a man is climbing on a ladder, he is picking apples."
"Here a man is climbing on a ladder, he is picking apples.",translate from english to karuk,"payôok ávansa vuraakírak uvôoruraatih, úmkaanvutih."
payôok kuyráak axíich kun'iruvêehriv.,translate from karuk to english,Here three children are standing.
Here three children are standing.,translate from english to karuk,payôok kuyráak axíich kun'iruvêehriv.
"káru tapas'ápsuun káan ithyárukirukam utákviihriv, muxvâa a' uhyárih.",translate from karuk to english,"And a rattlesnake is lying coiled there across-stream, its head is standing up."
"And a rattlesnake is lying coiled there across-stream, its head is standing up.",translate from english to karuk,"káru tapas'ápsuun káan ithyárukirukam utákviihriv, muxvâa a' uhyárih."
xás paaxíich kuníkshuupkuti pa'ápsuun.,translate from karuk to english,The children are pointing at the snake.
The children are pointing at the snake.,translate from english to karuk,xás paaxíich kuníkshuupkuti pa'ápsuun.
"payôok áxak pa'ápsuun, kúnish chími kuníshkaaksipreevish.",translate from karuk to english,"Here are two snakes, they are sort of going to strike (lit., jump)."
"Here are two snakes, they are sort of going to strike (lit., jump).",translate from english to karuk,"payôok áxak pa'ápsuun, kúnish chími kuníshkaaksipreevish."
"paaxíich uumkun káru tá kunmah, pa'ápsuun.",translate from karuk to english,The children also see the snakes.
The children also see the snakes.,translate from english to karuk,"paaxíich uumkun káru tá kunmah, pa'ápsuun."
"pa'ápsuun ithyáruk kuníshkaakaraanik, xás paaxíich tá kun'áathva, xás kuníhmar.",translate from karuk to english,"The snakes have jumped across, and the children are afraid, and they ran."
"The snakes have jumped across, and the children are afraid, and they ran.",translate from english to karuk,"pa'ápsuun ithyáruk kuníshkaakaraanik, xás paaxíich tá kun'áathva, xás kuníhmar."
"xás yítha paaxíich tóo kyívish, tóo kyívivruk.",translate from karuk to english,"One child fell down, he fell down over (the bank)."
"One child fell down, he fell down over (the bank).",translate from english to karuk,"xás yítha paaxíich tóo kyívish, tóo kyívivruk."
páy uum úuth yúrasak.,translate from karuk to english,This is out at the ocean.
This is out at the ocean.,translate from english to karuk,páy uum úuth yúrasak.
xás pakúusra tuvôonsip.,translate from karuk to english,The sun has risen.
The sun has risen.,translate from english to karuk,xás pakúusra tuvôonsip.
káru pápaa úuth uthívruuhtih.,translate from karuk to english,And the boat is floating out in the water.
And the boat is floating out in the water.,translate from english to karuk,káru pápaa úuth uthívruuhtih.
káan asiktávaan uhyári yurástiim.,translate from karuk to english,A woman is standing there on the seashore.
A woman is standing there on the seashore.,translate from english to karuk,káan asiktávaan uhyári yurástiim.
xás pa'ávansa úuth uvíitih.,translate from karuk to english,The man is paddling out in the water.
The man is paddling out in the water.,translate from english to karuk,xás pa'ávansa úuth uvíitih.
